reporter_code,partner_code,commodity_code,year,trade_flow,value_usd,quantity_kg
ITA,W00,27,2023,Import,93651338967.78,
ITA,W00,84,2013,Import,40556165547.0,
ITA,W00,84,2013,Export,103966505947.0,
ITA,W00,84,2014,Export,107641638039.0,
ITA,W00,84,2014,Import,43236908401.0,
ITA,W00,84,2015,Export,92300189069.53,
ITA,W00,84,2015,Import,39271845126.63,
ITA,W00,84,2016,Export,92351125254.68,
ITA,W00,84,2016,Import,41114627321.5,
ITA,W00,84,2017,Export,99643580489.79,
ITA,W00,84,2017,Import,44665235867.06,
ITA,W00,84,2018,Export,107031423273.34,
ITA,W00,84,2018,Import,48779305186.12,
ITA,W00,84,2019,Import,46789827364.45,
ITA,W00,84,2019,Export,101895773449.33,
ITA,W00,84,2020,Export,91235635284.48,
ITA,W00,84,2020,Import,43750924190.96,
ITA,W00,84,2021,Export,108719127029.79,
ITA,W00,84,2021,Import,54691948454.73,
ITA,W00,84,2022,Export,106096388410.66,
ITA,W00,84,2022,Import,58607395777.72,
ITA,W00,84,2023,Export,116733454517.85,
ITA,W00,84,2023,Import,58512935402.09,
ITA,W00,85,2013,Import,32600457269.0,
ITA,W00,85,2013,Export,29269460275.0,
ITA,W00,85,2014,Export,30006619434.0,
ITA,W00,85,2014,Import,32675134771.0,
ITA,W00,85,2015,Export,27398047366.72,
ITA,W00,85,2015,Import,31443186872.32,
ITA,W00,85,2016,Export,27748160309.49,
ITA,W00,85,2016,Import,31432020116.59,
ITA,W00,85,2017,Export,30296870178.73,
ITA,W00,85,2017,Import,34594813688.05,
ITA,W00,85,2018,Export,34038753639.57,
ITA,W00,85,2018,Import,38220033795.5,
ITA,W00,85,2019,Import,36921931465.22,
ITA,W00,85,2019,Export,32139285414.0,
ITA,W00,85,2020,Export,31122763193.56,
ITA,W00,85,2020,Import,36364995376.0,
ITA,W00,85,2021,Export,38197344730.58,
ITA,W00,85,2021,Import,47720292316.05,
ITA,W00,85,2022,Export,40912748578.38,
ITA,W00,85,2022,Import,56000731861.98,
ITA,W00,85,2023,Export,44272110277.76,
ITA,W00,85,2023,Import,55273726434.53,
ITA,W00,87,2013,Import,32752649168.0,
ITA,W00,87,2013,Export,37551635744.0,
ITA,W00,87,2014,Export,38539940526.0,
ITA,W00,87,2014,Import,36164800946.0,
ITA,W00,87,2015,Export,38026629348.0,
ITA,W00,87,2015,Import,36370171629.65,
ITA,W00,87,2016,Export,39447246311.67,
ITA,W00,87,2016,Import,43593473930.94,
ITA,W00,87,2017,Export,43921093870.71,
ITA,W00,87,2017,Import,48730864713.9,
ITA,W00,87,2018,Export,45222518455.94,
ITA,W00,87,2018,Import,51209438547.31,
ITA,W00,87,2019,Import,48374049136.56,
ITA,W00,87,2019,Export,41944720133.71,
ITA,W00,87,2020,Export,38333384033.75,
ITA,W00,87,2020,Import,38378023220.17,
ITA,W00,87,2021,Export,45778485174.67,
ITA,W00,87,2021,Import,45335201356.68,
ITA,W00,87,2022,Export,45545016066.85,
ITA,W00,87,2022,Import,47032841997.26,
ITA,W00,87,2023,Export,53836285956.7,
ITA,W00,87,2023,Import,61524445748.18,
ITA,W00,30,2013,Import,21256387065.0,
ITA,W00,30,2013,Export,23577737913.0,
ITA,W00,30,2014,Export,25266871004.0,
ITA,W00,30,2014,Import,21543741450.0,
ITA,W00,30,2015,Export,19803433882.66,
ITA,W00,30,2015,Import,20628186915.22,
ITA,W00,30,2016,Export,21245941267.54,
ITA,W00,30,2016,Import,21338026827.6,
ITA,W00,30,2017,Import,23481446765.52,
ITA,W00,30,2017,Export,25518247382.45,
ITA,W00,30,2018,Export,27750561501.07,
ITA,W00,30,2018,Import,26823186226.09,
ITA,W00,30,2019,Import,27210952254.0,
ITA,W00,30,2019,Export,33658851519.81,
ITA,W00,30,2020,Export,36068950153.29,
ITA,W00,30,2020,Import,28544856164.58,
ITA,W00,30,2021,Export,36715910054.33,
ITA,W00,30,2021,Import,30829217951.17,
ITA,W00,30,2022,Export,47643016828.72,
ITA,W00,30,2022,Import,34710077621.66,
ITA,W00,30,2023,Import,32730945644.73,
ITA,W00,30,2023,Export,50320671546.81,
CHN,W00,27,2013,Import,315232251704.0,
CHN,W00,27,2013,Export,33799247525.0,
CHN,W00,27,2014,Import,316787667435.0,
CHN,W00,27,2014,Export,34451695358.0,
CHN,W00,27,2015,Import,198600749043.0,
CHN,W00,27,2015,Export,27903739800.0,
CHN,W00,27,2016,Import,176535890009.0,
CHN,W00,27,2016,Export,26873527146.0,
CHN,W00,84,2013,Export,383152557937.0,
CHN,W00,84,2013,Import,170570902764.0,
CHN,W00,84,2014,Export,400834160171.0,
CHN,W00,84,2014,Import,179377720776.0,
CHN,W00,84,2015,Import,2000.0,
CHN,W00,84,2015,Export,364276141584.0,
CHN,W00,84,2016,Import,1500.0,
CHN,W00,85,2013,Export,561288340171.0,
CHN,W00,85,2013,Import,439417537411.0,
CHN,W00,85,2014,Export,570924485664.0,
CHN,W00,85,2014,Import,424319487541.0,
CHN,W00,85,2015,Import,2200.0,
CHN,W00,85,2015,Export,594325410786.0,
